X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1
67932.2453510776,224169.114725406,209,P02,perimeter_tin,,52,252.734190504909,5.48311281204224
67932.0066165565,224169.040524136,210,P02,perimeter_tin,,52.25,252.734190504909,5.48582553863525
67931.7678820355,224168.966322866,211,P02,perimeter_tin,,52.5,252.734190504909,5.49461555480957
67931.5291475145,224168.892121596,212,P02,perimeter_tin,,52.75,252.734190504909,5.5091700553894
67931.2801020475,224168.870358824,213,P02,perimeter_tin,,53,265.01758040959,5.54033422470093
67931.031046699,224168.848646307,214,P02,perimeter_tin,,53.25,265.01758040959,5.58517217636108
67930.7819913506,224168.826933789,215,P02,perimeter_tin,,53.5,265.01758040959,5.60531330108643
67930.5329360022,224168.805221272,216,P02,perimeter_tin,,53.75,265.01758040959,5.63192510604858
67930.2838806537,224168.783508754,217,P02,perimeter_tin,,54,265.01758040959,5.65613508224487
67930.0348253053,224168.761796237,218,P02,perimeter_tin,,54.25,265.01758040959,5.63698053359985
67929.7857699569,224168.740083719,219,P02,perimeter_tin,,54.5,265.01758040959,5.63694477081299
67929.5367146084,224168.718371202,220,P02,perimeter_tin,,54.75,265.01758040959,5.64946985244751
67929.28765926,224168.696658684,221,P02,perimeter_tin,,55,265.01758040959,5.65778255462646
67929.0386039116,224168.674946166,222,P02,perimeter_tin,,55.25,265.01758040959,5.67527008056641
67928.7895485632,224168.653233649,223,P02,perimeter_tin,,55.5,265.01758040959,5.67747402191162
67928.5404932147,224168.631521131,224,P02,perimeter_tin,,55.75,265.01758040959,5.68963527679443
67928.2920896101,224168.656759887,225,P02,perimeter_tin,,56,276.572994986314,5.72099494934082
67928.043732903,224168.685377121,226,P02,perimeter_tin,,56.25,276.572994986314,5.7484769821167
67927.795376196,224168.713994355,227,P02,perimeter_tin,,56.5,276.572994986314,5.77021455764771
67927.5470194889,224168.742611588,228,P02,perimeter_tin,,56.75,276.572994986314,5.76383876800537
67927.2986627819,224168.771228822,229,P02,perimeter_tin,,57,276.572994986314,5.76415395736694
67927.0503060749,224168.799846056,230,P02,perimeter_tin,,57.25,276.572994986314,5.76955556869507
67926.8019493678,224168.82846329,231,P02,perimeter_tin,,57.5,276.572994986314,5.80377149581909
67926.5535926608,224168.857080523,232,P02,perimeter_tin,,57.75,276.572994986314,5.82651233673096
67926.3052359537,224168.885697757,233,P02,perimeter_tin,,58,276.572994986314,5.84940052032471
67926.0568792467,224168.914314991,234,P02,perimeter_tin,,58.25,276.572994986314,5.8751859664917
67925.8085225396,224168.942932224,235,P02,perimeter_tin,,58.5,276.572994986314,5.88496351242065
67925.5601658326,224168.971549458,236,P02,perimeter_tin,,58.75,276.572994986314,5.88242816925049
67925.3118091256,224169.000166692,237,P02,perimeter_tin,,59,276.572994986314,5.89972639083862
67925.0634524185,224169.028783926,238,P02,perimeter_tin,,59.25,276.572994986314,5.8876314163208
67924.8150957115,224169.057401159,239,P02,perimeter_tin,,59.5,276.572994986314,5.91464805603027
67924.6046264568,224168.938125531,240,P02,perimeter_tin,,59.75,234.688786561618,5.93893146514893
67924.4006203365,224168.793621196,241,P02,perimeter_tin,,60,234.688786561618,5.97432613372803
67924.1966142162,224168.649116861,242,P02,perimeter_tin,,60.25,234.688786561618,5.96651840209961
67923.9861062096,224168.516616843,243,P02,perimeter_tin,,60.5,248.428692808636,5.93715953826904
67923.7536160296,224168.424702121,244,P02,perimeter_tin,,60.75,248.428692808636,5.94216012954712
67923.5211258495,224168.332787398,245,P02,perimeter_tin,,61,248.428692808636,5.94696378707886
67923.2886356695,224168.240872676,246,P02,perimeter_tin,,61.25,248.428692808636,5.96583366394043
67923.0561454894,224168.148957954,247,P02,perimeter_tin,,61.5,248.428692808636,5.97656059265137
67922.8236553094,224168.057043231,248,P02,perimeter_tin,,61.75,248.428692808636,6.00551795959473
67922.5911651294,224167.965128509,249,P02,perimeter_tin,,62,248.428692808636,6.01739740371704
67922.3586749493,224167.873213787,250,P02,perimeter_tin,,62.25,248.428692808636,6.03426504135132
67922.1261847693,224167.781299064,251,P02,perimeter_tin,,62.5,248.428692808636,6.03364896774292
67921.8822336189,224167.763242344,252,P02,perimeter_tin,,62.75,273.930175545926,6.03812789916992
67921.6328215391,224167.780377525,253,P02,perimeter_tin,,63,273.930175545926,6.06659173965454
67921.3834094592,224167.797512706,254,P02,perimeter_tin,,63.25,273.930175545926,6.0892391204834
67921.1339973794,224167.814647887,255,P02,perimeter_tin,,63.5,273.930175545926,6.08984899520874
67920.8845852995,224167.831783068,256,P02,perimeter_tin,,63.75,273.930175545926,6.07985591888428
67920.6351732197,224167.848918249,257,P02,perimeter_tin,,64,273.930175545926,6.0795464515686
67920.3857611399,224167.86605343,258,P02,perimeter_tin,,64.25,273.930175545926,6.09166145324707
67920.13634906,224167.883188611,259,P02,perimeter_tin,,64.5,273.930175545926,6.1146125793457
67919.8869369802,224167.900323792,260,P02,perimeter_tin,,64.75,273.930175545926,6.19839239120483
67919.6375249003,224167.917458973,261,P02,perimeter_tin,,65,273.930175545926,6.32774114608765
67919.3881128205,224167.934594154,262,P02,perimeter_tin,,65.25,273.930175545926,6.3742299079895
67919.1387007406,224167.951729335,263,P02,perimeter_tin,,65.5,273.930175545926,6.30259656906128
67918.8892886608,224167.968864517,264,P02,perimeter_tin,,65.75,273.930175545926,6.17127895355225
67918.639876581,224167.985999698,265,P02,perimeter_tin,,66,273.930175545926,6.06374931335449
67918.3904645011,224168.003134879,266,P02,perimeter_tin,,66.25,273.930175545926,5.99857807159424
67918.1410524213,224168.02027006,267,P02,perimeter_tin,,66.5,273.930175545926,5.98512172698975
67917.8932792541,224168.050638875,268,P02,perimeter_tin,,66.75,280.189463869652,5.97318553924561
67917.6472222152,224168.094864813,269,P02,perimeter_tin,,67,280.189463869652,5.97077751159668
67917.4011651764,224168.139090752,270,P02,perimeter_tin,,67.25,280.189463869652,5.97061157226562
67917.1551081375,224168.18331669,271,P02,perimeter_tin,,67.5,280.189463869652,5.9759373664856
67916.9090510986,224168.227542628,272,P02,perimeter_tin,,67.75,280.189463869652,5.96913766860962
67916.6629940598,224168.271768567,273,P02,perimeter_tin,,68,280.189463869652,5.97510671615601
67916.4169370209,224168.315994505,274,P02,perimeter_tin,,68.25,280.189463869652,5.96944618225098
67916.170879982,224168.360220444,275,P02,perimeter_tin,,68.5,280.189463869652,5.96534299850464
67915.9248229432,224168.404446382,276,P02,perimeter_tin,,68.75,280.189463869652,5.96551084518433
