fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,21.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.7000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,22.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.7000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,23.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.7000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,24.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.7000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,25.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.7000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.8000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,26.9000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.0000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.1000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.2000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.3000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.4000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.5000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.6000000000001,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,27.7000000000001,212.351971855461
